examId,content,options,imagePath,answer
1,看到網友所整理、分享某事件的資訊懶人包，請問你應該如何辨識其可信度？		,"['按讚或分享的數量越多，表示其內容必定正確', '依據作者的知名程度判斷，知名度越高越真實', '內容若是圖文並茂，顯示作者用心整理，值得信任', '內容如果僅有單一面向的論述與說法，則要注意是否偏頗失真', None]",/Image/38551464-705b-4135-a871-cca46da330c4.jpg,3
2,想要瞭解正確的醫療保健常識，以下哪個網站查詢的資訊可信度較高？,"['政府衛生單位網站', '醫藥產品網站', '入口網站的知識區', '熱門部落格', None]",/Image/73b70dbd-7125-4dd0-9407-cac9ace3c255.jpg,0
3,收到朋友寄來的電子郵件，內容提到某些沐浴乳含甲醛、鮮乳含禁藥等訊息時，你應該怎麼辦？,"['趕快轉寄給其他朋友提醒他們', '向相關單位查證', '以後再也不使用沐浴乳或是喝鮮乳', '在自己的部落格上也張貼相關資訊，提醒大家', None]",,1
4,以下何種網路內容對兒童及青少年身心發展可能有害，應該避免接觸？,"['描述觀看電影後的心得與感想', '描述賭博、吸毒、販毒等犯罪行為', '自助旅行的遊記', '烘培蛋糕的食譜', None]",/Image/7649c564-5445-4ec1-a856-f190cf1d352e.jpg,1
7,當發現自己的社群服務頁面出現色情廣告留言或奇怪網址的超連結，下列何種因應方式為「錯誤」？,"['立即移除不當內容的貼文', '點選該連結，檢查一下是否真的包含色情內容', '向網站管理者檢舉不當留言，請管理者進一步處理', '封鎖大量濫貼廣告或色情文字、網址的使用者', None]",,1
9,某男子因在網路上轉貼裸露照片而被判拘役55天。在網站上張貼、散布或販售色情與猥褻圖文、影片屬違法的行為。請問下列相關敘述何者有誤？	,"['可能觸犯刑法', '可能會被處以二年以下有期徒刑、拘役或科或併科三萬元以下罰金', '只是轉貼他人提供的色情圖文或影片，並不會違法', '如果散布的是未滿18歲的猥褻圖片或影片，還會被處以更重的刑責', None]",/Image/a5d2ea50-e7ec-4d60-aed3-f54435a18f86.jpg,2
10,請問於公開論壇、部落格留言版、社群網站、或用E-mail散布誹謗他人言論，是否違法？			,"['不是，因為公民有言論自由', '不是，因為謾罵是在抒發情緒', '是的，這樣的行為可能會涉及刑法第310條的誹謗罪', '只要以匿名的方式發言，就不必擔心違法', None]",/Image/266367a9-c56c-4313-97b1-ea7f8b3e77a7.jpg,2
11,網路上偶爾會出現為了吸引網友關注而散布虐待動物的影片及照片，請問這是否涉及觸法行為？,"['動物保護法已明確規範不得散布虐待動物之影像', '目前尚無法可管', '這些人只是因為好玩而轉貼在自己的網站上，並沒有違法', '只是動物照片不是人類照片，因此不違法', None]",,0
12,張貼下列何種網路資訊，最有可能構成犯罪行為？,"['最新款智慧型手機開箱文', '販賣醫生處方藥', '販賣二手摩托車', '自製的搞笑動畫', None]",/Image/7ece6f49-77d1-42c7-9fcd-b00d4515ea44.jpg,1
13,當我們面對網路上各式各樣的資訊時，看到下列哪一個特徵時，可能要想想這個資訊是否客觀？,"['簡單明瞭的網頁畫面', '有知名的廣告商贊助', '沒有多餘或閃爍的符號', '由政府單位發布', None]",,1
14,面對網路上的各種資訊，下列何者「不是」評估網路資訊可信度的面向？,"['搜尋作者的名字，以間接證實資訊作者的存在', '察看網站贊助者，瞭解發布網站的目的或動機', '留意網站設計的美觀性、背景顏色是否常更新', '留意資訊是否有錯別字、內容是否過於戲劇性誇大', None]",/Image/9d49e42e-3de2-4c02-a31b-6f12083eeda4.jpg,2
15,我們如何判斷網路上的資訊具有客觀性？,"['資訊內容不偏頗、分析說明有條理', '資訊包含廣告與作者自身的觀點', '網站中的資訊是為了推銷商品', '網站有知名藝人代言，且購物免運費', None]",,0
16,對於網路謠言的敘述哪一個是「錯誤」的？		,"['利用多媒體技術，可製造合成照，更可提高網路謠言的可信度', '散布網路謠言除了引起誤會外，還可能會觸犯法律', '既然網路上的人都相信，那這樣的訊息應該是正確的', '網路謠言散布的動機可能是惡作劇，也可能是善意的提醒', None]",,2
17,瀏覽網路上的資訊時，我們如何看出該資訊是否具有權威性？,"['資訊有清楚註明作者的聯繫方式。', '資訊的作者具有發布資訊的資格。', '網站有註明資訊的發布者及單位。', '網站內幾乎都是英文，很少中文。', None]",,2
19,網路購物目前相當風行，但在網路上販售什麼物品是違法的？		,"['二手衣物', '槍械', '食品', '機票', None]",,1
20,在網路上看到很多人推薦的「吃檸檬蝦當心砒霜中毒」文章，請問你應該如何反應？			,"['既然有那麼多網友推薦，那可信度一定很高，以後再也不吃檸檬蝦了', '上網發布文章，提醒大家拒吃檸檬蝦', '馬上轉寄連結給其他親友，提醒大家要注意', '可向「衛生福利部食品藥物管理署」求證', None]",/Image/c8561ace-96cf-4539-88ee-bd34d2b587da.jpg,3
21,收到一封標明「可樂混合味精等於 FM2，女性朋友請小心」的轉寄郵件，應該怎麼處理？,"['趕快轉寄給女性好友，提醒她們要當心', '自己在家試驗看看', '可向「衛生福利部食品藥物管理署」求證', '問問看其他網友的意見', None]",,2
